ID by State,Faults/Fault Segment,MaxMagnitude,AnnualRate,a,b,Width,DIP,ID,section
1,Abert Rim fault ,7,4.92E-04,1.8536639,0.8,20,50,829,
2,Alvin Canyon fault,7.23,2.61E-03,2.529093,0.8,15,90,797,
3,Battle Rock fault zone,7,9.73E-05,1.1503175,0.8,20,50,896,
4,Beaver Creek fault zone,6.52,3.96E-04,1.8206571,0.8,20,50,895,
5,Bolton fault,6.19,3.28E-05,0,0,17,60,874,
6,Cape Blanco anticline,7.02,1.56E-03,2.20199,0.8,21,45,894,
7,Chemult graben fault system (east),7.16,3.98E-05,0.76154273,0.8,20,50,839,a
8,Chemult graben fault system (west),7.21,3.13E-04,1.5856717,0.8,20,50,839,b
9,Coquille anticline,6.78,2.54E-04,1.6225786,0.8,17,60,893,
10,Cottonwood Mountain fault,6.97,9.16E-05,1.09056,0.8,20,50,806,
11,Daisy Bank fault,7.3,2.08E-03,2.5063807,0.8,15,90,798,
12,Gales Creek fault zone,6.75,1.31E-05,0.3024114,0.8,15,90,718,
13,Goose Lake,7.14,7.99E-05,1.0417969,0.8,20,50,828,
14,Grant Butte fault,6.21,3.41E-04,0,0,20,50,878,
15,Happy Camp fault,6.58,3.55E-05,0.8424882,0.8,17,60,882,
16,Helvetia fault,6.4,2.56E-05,0,0,17,60,714,
17,Juniper Mountain fault,6.53,1.94E-05,0.52264785,0.8,20,50,805,
18,Klamath graben fault system (east),7.36,1.15E-04,1.3133024,0.8,20,50,843,b
19,Klamath graben fault system (west),7.06,1.42E-04,1.2051246,0.8,20,50,843,a
20,Lacamas Lake fault,6.67,2.44E-05,0.48052972,0.8,15,90,880,
21,Metolius fault zone,7.36,2.18E-05,0.5904285,0.8,20,50,853,
22,Mount Angel fault,6.8,6.85E-05,0.77476245,0.8,17,60,873,
23,Mount Hood fault,6.29,4.45E-04,0,0,20,50,0,
24,Newberg fault,6.85,1.14E-05,0.053293127,0.8,15,90,717,
25,Paulina Marsh fault,6.26,8.41E-04,0,0,20,50,834,
26,"Pine Valley graben fault system, Brownlee section",6.56,1.50E-05,0.445314,0.8,20,50,809,
27,"Pine Valley graben fault system, Halfway-Posey Valley section",6.91,8.96E-06,0.014196634,0.8,20,50,809,
28,Portland Hills fault,7.05,7.07E-05,0.8903394,0.8,17,60,877,
29,Sandy River fault zone,6.5,1.89E-05,0,0,15,90,0,
30,Santa Rosa fault system,7.5,5.39E-05,1.3327227,0.8,20,50,1508,
31,Sky Lakes fault zone ,7.08,2.45E-04,1.4632595,0.8,20,50,844,
32,South Slough thrust and reverse faults,6.29,1.33E-03,0,0,17,60,890,
33,Southeast Newberry fault zone,7.2,3.74E-04,1.7777597,0.8,20,50,835,
34,Steens fault zone,7.5,1.24E-04,1.7935853,0.8,20,50,856,
35,Tule Springs Rim fault ,6.9,1.12E-04,1.1019461,0.8,20,50,858,
36,Turner and Mill Creek faults ,6.59,9.79E-06,0.29409804,0.8,17,60,871,
37,Waldport fault ,6.43,2.47E-04,0,0,17,60,886,
38,Wallowa fault ,7.08,1.21E-04,1.1553462,0.8,20,50,801,
39,Warner Valley faults (east) *,7.5,6.23E-05 ,1.19634,0.8,20,50,827,a
40,Warner Valley faults (west),6.99,1.08E-04,1.1843001,0.8,20,50,827,b
41,Wecoma fault,7.34,2.95E-03,2.7000494,0.8,15,90,0,
42,Whaleshead fault zone,7.01,1.45E-03,2.1573264,0.8,15,90,897,
43,Winter Rim fault system ,7.19,3.18E-04,1.6960521,0.8,20,50,831,
44,Yaquina faults,6.14,1.62E-03,0,0,17,60,885,
45,Boulder Creek fault ,7.23,2.00E-04,"1.15000	",0.8,17,60,598,
46,Devils Mountain fault ,7.5,5.64E-05,1.1531128,0.8,17,60,574,
47,Hite fault system ,7.34,6.92E-06,0.0706793,0.8,15,90,845,
48,Horse Haven Hills structure reverse (NW trend),7.14,1.92E-05,0.4226207,0.8,17,60,567,
49,Lake Creek-Boundary Creek reverse fault ,6.79,6.64E-04,1.8786485,0.8,17,60,556,
50,Mill Creek Thrust fault ,7.11,2.48E-05,0.5012743,0.8,17,60,0,
51,Rattlesnake-Wallula fault reverse system ,7.44,1.73E-05,0.5754388,0.8,17,60,565,
52,Saddle Mountain fault ,7.35,2.39E-05,0.6193971,0.8,17,60,562,
53,Seattle fault zone-middle* ,7.2,1.00E-07,1.15,0.8,21,45,570,
54,Seattle fault zone-northern ,7.2,2.00E-04,1.15,0.8,21,45,570,
55,Seattle fault zone-southern*,7.2,1.00E-07,1.15,0.8,21,45,570,
56,Southern Whidbey Island fault-middle  ,7.44,1.34E-04,1.2427,0.8,17,60,572,
57,Southern Whidbey Island fault-northern ,7.42,1.40E-04,1.23295,0.8,17,60,572,
58,Southern Whidbey Island fault-southern ,7.42,1.40E-04,1.23519,0.8,17,60,572,
59,Strawberry Point fault ,6.73,2.11E-04,1.4862921,0.8,15,90,571,
60,Stonewall anticline ,6.8,5.12E-04,1.6484004,0.8,17,60,786,
61,Utsalady Point fault ,6.69,1.36E-04,1.2508161,0.8,15,90,573,
62,Beaverhead fault,7,3.48E-04,1.7037585,0.8,20,50,603,
63,Big Flat-Jakes Creek fault,6.81,5.13E-05,0.66017526,0.8,20,50,631,
64,Cuddy Mountain-Lick Creek fault,6.79,6.67E-05,1.0533264,0.8,20,50,634,
65,Eastern Bear Lake fault,7.29,3.85E-04,1.7621624,0.8,20,50,2364,
66,Lemhi fault*,7,7.01E-04,2.01E+00,0.8,20,50,602,
67,Lost River fault*,7,4.57E-04,1.8218563,0.8,21,45,601,
68,Rush Peak fault,6.78,6.69E-05,1.0435416,0.8,20,50,633,
69,Squaw Creek fault,7.03,9.43E-05,0.99330914,0.8,20,50,632,
